TID,UA
TID_INFO_POP_UP_IAP_NOTE,"Gale Brawl — безкоштовна гра, але можна прискорити її проходження за допомогою вбудованих купівель (цю можливість можна відключити в налаштуваннях пристрою). Якщо ти приймаєш умови користування та політику конфіденційності, натисни кнопку «OK»."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,OK
TID_SERVER_ERROR_TITLE,Помилка сервера <number>
TID_SERVER_ERROR,Під час бою пропав зв'язок.
TID_SERVER_ERROR_BUTTON,OK
TID_COME_BACK_NOTIFICATION_SMALL,Ще один бій?
TID_COME_BACK_NOTIFICATION_MEDIUM,Ще один бій?
TID_COME_BACK_NOTIFICATION_LARGE,Ще один бій?
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Під'єднання перервано
TID_ERROR_POP_UP_CONNECTION_LOST,"Будь ласка, спробуй увійти знову!"
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Повторний вхід
TID_TROPHIES,Трофеї
TID_PRACTICE,ТРЕНУВАННЯ
TID_READY,Готово
TID_BATTLE_END_TITLE_VICTORY,ПЕРЕМОГА!
TID_BATTLE_END_TITLE_DEFEAT,ПОРАЗКА
TID_BATTLE_END_TITLE_DRAW,Нічия
TID_BATTLE_END_TITLE_COOP_SURVIVAL,Час виживання: <TIME>
TID_BATTLE_END_DEATHMATCH_VICTORY,Ти кращий за всіх!
TID_BATTLE_END_DEATHMATCH_DEFEAT,Місце: <RANK>
TID_BATTLE_END_TVST_DRAW_DESC,"Гра закінчилася нічиєю, тому що обидві команди зібрали однакову кількість кристалів."
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM,Мегабоєць переможений за <TIME>
TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS,Час виживання: <TIME>
TID_BATTLE_END_TITLE_RAID_BOSS_VICTORY,РІВЕНЬ «<LEVEL>» ПРОЙДЕНИЙ!
TID_BATTLE_END_TITLE_RAID_BOSS_DEFEAT,ПОРАЗКА
TID_BATTLE_END_RETURN_HOME,ВИЙТИ
TID_BATTLE_END_NEXT,Далі
TID_BATTLE_END_TAP,натисни для продовження
TID_BATTLE_END_NO_PRACTISE_TROPHIES,У ТРЕНУВАННІ НЕ МОЖНА ВИГРАТИ ТРОФЕЇ
TID_BATTLE_END_XP_CAPPED,Весь доступний сьогодні досвід уже отриманий
TID_BATTLE_END_PLAY_AGAIN,ГРАТИ ЗНОВУ
TID_BATTLE_END_PLAY_AGAIN_CANCEL,СКАСУВАННЯ
TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS,<WAITING>/<TOTAL>
TID_BATTLE_END_PLAY_AGAIN_PLAYERS,<caaaaaa><TOTAL></c>
TID_BATTLE_END_PLAY_AGAIN_TIMER,<TIME>
TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM,<NAME> вступає у твою команду
TID_BATTLE_END_OVERWHELMING_VICTORY,ЕПІЧНА ПЕРЕМОГА
TID_BATTLE_END_OVERWHELMING_VICTORY_LONG,ЕПІЧНА ПЕРЕМОГА
TID_RESPAWNING,Повернення через\n<n1>
TID_TEAMS_POPUP_TITLE,КОМАНДИ
TID_TEAMS_POPUP_SUBTITLE_IN_CLAN,Команди клубу та друзів
TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN,"ВСТУПИ В КЛУБ, ЩОБ ПОБАЧИТИ АКТИВНІ ІГРИ"
TID_TEAMS_POPUP_SEARCH,ВСТУПИТИ ЗА КОДОМ
TID_TEAMS_POPUP_CREATE,СТВОРИТИ КОМАНДУ
TID_TEAM_SEARCH_POPUP_TITLE,ВСТУПИТИ В КОМАНДУ ЗА КОДОМ
TID_TEAM_SEARCH_POPUP_SEARCH,ВСТУПИТИ
TID_TEAM_JOIN_ROOM_CODE,Введи тут код команди...
TID_TEAM_CHANGE_MAP,ЗМІНИТИ
TID_TEAM_TYPE_INFO_0,Ранговий
TID_TEAM_TYPE_INFO_1,Дружній
TID_TEAM_TYPE_INFO_2,За квитками
TID_TEAM_MEMBER_LEFT_0,Ти покидаєш команду.
TID_TEAM_MEMBER_LEFT_1,Тебе вигнали з команди.
TID_TEAM_MEMBER_LEFT_2,"Команда розпущена: час, відведений для події, сплинув."
TID_TEAM_MEMBER_LEFT_3,"Команда розпущена, тому що творець команди її покинув."
TID_TEAM_MEMBER_LEFT_4,Турнірна гра скасована.
TID_TEAM_MEMBER_LEFT_5,"Час, відведений для турнірної гри, сплинув."
TID_TEAM_MEMBER_LEFT_6,Турнірна гра закінчилася.
TID_TEAM_GAME_STARTING,Гра розпочинається
TID_TEAM_CODE_COPIED,Код скопійований у буфер обміну
TID_TEAM_MEMBER_INVITE_STATUS_1,<c00ff00>ОЧІКУВАННЯ ВІДПОВІДІ НА ЗАПРОШЕННЯ</c>
TID_TEAM_MEMBER_INVITE_STATUS_2,<ccc0000>ВІДХИЛЕНО</c>
TID_TEAM_MEMBER_INVITE_STATUS_3,<c0000cc>КОРИСТУВАЧ НЕ В МЕРЕЖІ</c>
TID_TEAM_MEMBER_CANCEL_INVITE_INFO,натисни для скасування
TID_TEAM_ERROR_1,Помилка сервера команди
TID_TEAM_ERROR_2,"Не можна вступити, команда вже набрана."
TID_TEAM_ERROR_3,Не можна вступити. Команда вже розпущена.
TID_TEAM_ERROR_5,"Недійсний код команди. Переконайся, що він правильний."
TID_TEAM_ERROR_6,Не вдалося знайти команду за таким кодом.
TID_TEAM_ERROR_7,"Не можна вступити в команду, з якої тебе вигнали."
TID_TEAM_ERROR_8,Перевір налаштування. У кожній команді не може бути більш ніж три гравці.
TID_TEAM_ERROR_10,Не можна створити команду. Ти вже в команді.
TID_TEAM_ERROR_11,"Не можна створити команду. Час, відведений для події, сплинув."
TID_TEAM_ERROR_12,"Не можна вступити в команду, якої вже немає."
TID_TEAM_ERROR_14,Не можна створити команду. Командна гра під час цієї події неможлива.
TID_TEAM_ERROR_15,Не можна вступити в команду. Ця команда не в твоєму регіоні.
TID_TEAM_ERROR_17,Неможливо розпочати гру. Використання однакових бійців не допускається.
TID_TEAM_ERROR_18,Неможливо розпочати гру. Незабаром почнеться техобслуговування.
TID_TEAM_ERROR_19,"Не можна вигнати творця команди, поки він у мережі."
TID_TEAM_ERROR_20,Не можна змінити карту. Забагато гравців для цієї карти.
TID_TEAM_ERROR_21,Неможливо розпочати гру. Бракує квитків.
TID_TEAM_ERROR_22,Не можна змінити карту. Забагато гравців.
TID_TEAM_ERROR_24,Запросити не вдалося. Друзі не знайдені.
TID_TEAM_ERROR_25,Запросити не вдалося. Команда вже набрана.
TID_TEAM_ERROR_26,Запрошення відхилено
TID_TEAM_ERROR_27,Запросити не вдалося. Гравець зараз не приймає запрошення в команду.
TID_TEAM_ERROR_28,Запросити не вдалося. Гравець вийшов із мережі.
TID_TEAM_ERROR_29,Запросити не вдалося. Гравець уже в команді.
TID_TEAM_ERROR_30,"Неможливо розпочати гру, відповідь на запрошення ще не отримана."
TID_TEAM_ERROR_31,"Неможливо змінити подію, поки не отримана відповідь на запрошення."
TID_TEAM_ERROR_32,У команді забагато учасників для цього ігрового режиму.
TID_TEAM_ERROR_33,Цей ігровий режим не підтримує командну гру.
TID_TEAM_ERROR_34,Тобі вже вдалося перемогти останнього боса.
TID_TEAM_ERROR_40,Запит на вступ у команду вже очікує розгляду.
TID_TEAM_ERROR_41,Запит на вступ у команду був відхилений.
TID_TEAM_ERROR_42,Запит на вступ у команду не вдався. Команда не знайдена.
TID_TEAM_ERROR_43,Одержувач запиту на вступ уже не в команді.
TID_TEAM_ERROR_44,Одержувач запиту на вступ у команду вийшов із мережі.
TID_TEAM_ERROR_45,Запит на вступ у команду не вдався. Команда вже набрана.
TID_TEAM_ERROR_46,Одержувач запиту на вступ у команду заглушив тебе.
TID_TEAM_ERROR_47,Запит на вступ у команду не вдався. Запити на вступ може приймати тільки творець дружньої гри.
TID_TEAM_ERROR_48,Одержувач запиту на вступ у команду заглушив усі запрошення.
TID_TEAM_ERROR_102,Не можна створити команду. Твій запит на вступ очікує розгляду.
TID_SELECT_LOCATION_TITLE,ВИБРАТИ КАРТУ
TID_SELECT_LOCATION_LOCATIONS,ДРУЖНІЙ
TID_SELECT_LOCATION_EVENTS,РАНГОВИЙ
TID_TEAM_SEARCH_INVALID_CODE,"Недійсний код команди. Переконайся, що він правильний."
TID_TEAM_LEAVE,ВИЙТИ
TID_TEAM_JOIN,ВСТУПИТИ В КОМАНДУ
TID_TEAM_READY_BUTTON_LABEL,ГОТОВО!
TID_TEAM_CANCEL_READY,Скасування
TID_TEAM_QUIT,ВИЙТИ
TID_TEAM_TEAMCODE,Код команди
TID_TEAM_TEAMCODE_DESC,Твої друзі можуть вступити в команду за цим кодом
TID_TEAM_WAITING_FOR_PLAYER,Запросити за допомогою коду команди
TID_TEAM_NO_MEMBER,БОТ
TID_TEAM_NO_MEMBER_INVITE,ЗАПРОСИТИ
TID_TEAMCREATE_EVENT,Карта
TID_TEAM_KICK,ВИГНАТИ
TID_TEAM_PROFILE,Профіль
TID_TEAM_SWAP,Поміняти сторони
TID_TEAM_SWAP_HERE,Перенести сюди
TID_TEAM_CREATOR_ONLY_FEATURE,Доступно тільки творцю команди
TID_TEAM_CREATOR_ONLY_FEATURE_MODES,Тільки творець команди може поміняти подію
TID_TEAM_PROFILE_BLOCKED,Перегляд недоступний у режимі готовності
TID_TEAM_FEATURE_BLOCKED_WHILE_READY,Недоступно в режимі готовності
TID_TEAM_PRACTISE_BUTTON_LABEL,ТРЕНУВАННЯ
TID_TEAM_PRACTISE_BUTTON_SUBLABEL,з ботами
TID_TEAM_LOOT_UNLOCKS,НАГОРОДА
TID_BONUS_REWARD,Додаткова нагорода за 3 перемоги:
TID_BONUS_REWARD_COLLECTED,Додаткова нагорода отримана
TID_INFO_SERVER_ERROR_TITLE,Помилка сервера
TID_INFO_SERVER_ERROR_BUTTON,Перезавантажити гру
TID_RARITY_NAME_0,Нагорода шляху до слави
TID_RARITY_NAME_1,Рідкісний
TID_RARITY_NAME_2,Надрідкісний
TID_RARITY_NAME_3,Епічний
TID_RARITY_NAME_4,Міфічний
TID_RARITY_NAME_5,Легендарний
TID_RARITY_COLOR_0,B9EAFF
TID_RARITY_COLOR_1,68FD58
TID_RARITY_COLOR_2,5AB3FF
TID_RARITY_COLOR_3,D850FF
TID_RARITY_COLOR_4,FE5E72
TID_RARITY_COLOR_5,FFF11E
TID_HERO_SCREEN_DIM_COLOR,164382
TID_RANK_UP_POPUP_TITLE,НОВИЙ РАНГ!
TID_RANK_UP_POPUP_REWARD_BONUS,БОНУС ПІДВИЩЕННЯ РАНГУ
TID_RANK_UP_POPUP_RANK,Ранг: <RANK>
TID_NAME_FAILED_TOO_SHORT,Це ім'я надто коротке!
TID_NAME_FAILED_PROFANITIES,Таке ім'я неприпустиме!
TID_NAME_FAILED,Таке ім'я неприпустиме!
TID_EVENT_STARTED,<GAMEMODE>: відкрита нова карта! Можна отримати нагороду!
TID_SELECT_HERO_INFO_1,<cFF8000>Гравці проти гравців</c>
TID_SELECT_HERO_INFO_2,<c2288ff>Гравці проти ботів</c>
TID_SELECT_HERO_INFO_3,<c40E0D0>Одиночна гра з ботами</c>
TID_SELECT_HERO_INFO_1_6,<cFF8000>Гравці проти гравців</c>
TID_SELECT_HERO_INFO_3_6,<c40E0D0>Одиночна гра з ботами</c>
TID_SELECT_HERO_INFO_FRIENDLY,<c40E0D0>У дружніх іграх усі бійці повністю поліпшені</c>
TID_SELECT_HERO_INFO_RANK_REWARD,Для отримання очок сили
TID_SELECT_HERO_POW_INFO_TITLE,ОЧКИ СИЛИ В НАГОРОДУ
TID_SELECT_HERO_POW_INFO_PURCHASE_TITLE,КУПІВЛЯ ОЧОК СИЛИ
TID_SELECT_HERO_POW_INFO_BODY,ВИБЕРИ БІЙЦЯ\nЯКИЙ ОТРИМАЄ ОЧКИ СИЛИ
TID_SELECT_HERO_WILD_CARD_POWER_NOT_ASSIGNABLE,Цей боєць уже зібрав максимальну кількість очок сили
TID_WILDCARD_POWER_PURCHASE_CONFIRM_TITLE,ПІДТВЕРДИТИ КУПІВЛЮ
TID_WILDCARD_POWER_PURCHASE_CONFIRM_INFO,Очки сили отримає <HERO>
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_TITLE,ПІДТВЕРДИТИ ВИБІР
TID_WILDCARD_POWER_RANKUP_REWARD_CONFIRM_INFO,Очки сили отримає <HERO>
TID_NAVI_1,Крамниця
TID_NAVI_2,Новини
TID_NAVI_3,Бій
TID_NAVI_4,Бійці
TID_NAVI_5,Клуб
TID_NAVI_6,Профіль
TID_NAVI_7,Друзі
TID_LEADERBOARD_TITLE,СПИСКИ ЛІДЕРІВ
TID_LEADERBOARD_TAB_TOTAL,ВСЬОГО\nТРОФЕЇВ
TID_LEADERBOARD_TAB_HEROES,БІЙЦІ
TID_LEADERBOARD_TAB_CLANS,КЛУБИ
TID_LEADERBOARD_TAB_FRIENDS,ДРУЗІ
TID_LEADERBOARD_SUBTITLE_1,НАЙКРАЩІ ГРАВЦІ
TID_LEADERBOARD_SUBTITLE_2,НАЙКРАЩІ КЛУБИ
TID_LEADERBOARD_SUBTITLE_0,<HERO>: НАЙКРАЩІ ГРАВЦІ
TID_BATTLE_MAIN_NEXT_REWARD,Наступна нагорода: <VALUE>/<MAX>
TID_BATTLE_MAIN_NEXT_PLANET,Нова карта через <TIME>
TID_BATTLE_MAIN_COLLECTED_COINS,Отримано <VALUE>
TID_GATCHA_ERROR_NOT_ENOUGH_GOLD,"Збери 100 жетонів, щоб відкрити ящик!"
TID_GATCHA_INFO,"<c0000ff>Ящики</c>\n\nУ ящиках можна знайти бійців, очки сили, монети або подвоювачі жетонів."
TID_HERO_INFO_ABILITY_COLOR_1,12b400
TID_HERO_INFO_ABILITY_COLOR_2,df1800
TID_HERO_INFO_ABILITY_COLOR_3,005bd6
TID_HERO_INFO_ARMOR,ЗДОРОВ'Я
TID_HERO_INFO_ABILITY,АТАКА: <NAME>
TID_HERO_INFO_ULTI,СУПЕР: <NAME>
TID_HERO_INFO_BACK,НАЗАД
TID_HERO_INFO_UPGRADE,ПОЛІПШИТИ
TID_HERO_INFO_ABILITY_LEVEL,РІВЕНЬ <LEVEL>/<MAXLEVEL>
TID_HERO_INFO_CRAFT_HERO,Купити бійця
TID_HERO_INFO_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_ITEM_RARITY,<c<COLOR>><NAME></c>
TID_HERO_INFO_POWER_BAR_TOOL_TIP,"Щоб розблокувати наступне поліпшення, збирай очки сили з ящиків чи купуй їх у крамниці."
TID_HERO_INFO_STAR_POWER_CAN_DROP,Зоряну силу можна знайти в ящику.
TID_HERO_INFO_STAR_POWER_BLOCKED,"<HERONAME> може міняти зоряні сили! Шукай їх у ящиках, коли боєць отримає <LEVEL>-й рівень сили."
